"Stock","Year","Length","CatchNo"
"KOB-S",2009,1130,5.4828628452
"KOB-S",2009,1140,2.478902174
"KOB-S",2009,1150,1.7225354074
"KOB-S",2009,1160,2.4941964784
"KOB-S",2009,1170,2.9012149266
"KOB-S",2009,1180,2.1623815217
"KOB-S",2009,1190,1.6143722836
"KOB-S",2009,1200,0.8505183625
"KOB-S",2009,1210,0.4944267217
"KOB-S",2009,1220,0.8292026365
"KOB-S",2009,1230,0.2884041309
"KOB-S",2009,1240,0.1235353333
"KOB-S",2010,410,0
"KOB-S",2010,420,0
"KOB-S",2010,430,0
"KOB-S",2010,440,0
"KOB-S",2010,450,0
"KOB-S",2010,460,0.1759631663
"KOB-S",2010,470,1.1466673982
"KOB-S",2010,480,9.4435067008
"KOB-S",2010,490,27.3304572866
"KOB-S",2010,500,211.932343738
"KOB-S",2010,510,187.7131143179
"KOB-S",2010,520,171.6902589198
"KOB-S",2010,530,147.4770421057
"KOB-S",2010,540,130.7941011903
"KOB-S",2010,550,107.5473924233
"KOB-S",2010,560,83.5500574343
"KOB-S",2010,570,80.6661448621
"KOB-S",2010,580,77.6994466118
"KOB-S",2010,590,73.8939988006
"KOB-S",2010,600,68.7528128882
"KOB-S",2010,610,65.4021749129
"KOB-S",2010,620,65.2409999527
"KOB-S",2010,630,61.2008896329
"KOB-S",2010,640,54.5991213275
"KOB-S",2010,650,56.7675370773
"KOB-S",2010,660,51.8037756998
"KOB-S",2010,670,46.533526582
"KOB-S",2010,680,44.9059449238
"KOB-S",2010,690,38.1602681871
"KOB-S",2010,700,40.3708711203
"KOB-S",2010,710,38.0061522461
"KOB-S",2010,720,30.4629611892
"KOB-S",2010,730,31.9533731998
"KOB-S",2010,740,30.2900326433
"KOB-S",2010,750,27.7302532424
"KOB-S",2010,760,27.9770816994
"KOB-S",2010,770,24.4647381293
"KOB-S",2010,780,24.3885756137
"KOB-S",2010,790,21.437393889
"KOB-S",2010,800,20.6862012639
"KOB-S",2010,810,22.9653628016
"KOB-S",2010,820,17.3309619519
"KOB-S",2010,830,16.783878917
"KOB-S",2010,840,17.8372137727
"KOB-S",2010,850,15.8486354445
"KOB-S",2010,860,12.4763780193
"KOB-S",2010,870,11.226269659
"KOB-S",2010,880,12.4617858328
"KOB-S",2010,890,12.358636594
"KOB-S",2010,900,12.6688943289
"KOB-S",2010,910,8.9787819997
"KOB-S",2010,920,9.1715111754
"KOB-S",2010,930,8.2817459846
"KOB-S",2010,940,7.7497790261
"KOB-S",2010,950,7.7319267526
"KOB-S",2010,960,7.182783319
"KOB-S",2010,970,7.1611449166
"KOB-S",2010,980,5.3053477869
"KOB-S",2010,990,3.7245200097
"KOB-S",2010,1000,1.8729197863
"KOB-S",2010,1010,3.6643271029
"KOB-S",2010,1020,3.5875688795
"KOB-S",2010,1030,4.2706560824
"KOB-S",2010,1040,4.1227230811
"KOB-S",2010,1050,3.0082899801
"KOB-S",2010,1060,3.8242662584
"KOB-S",2010,1070,2.446753914
"KOB-S",2010,1080,2.0871721997
"KOB-S",2010,1090,2.4620328098
"KOB-S",2010,1100,2.2259050044
"KOB-S",2010,1110,2.9658242894
"KOB-S",2010,1120,2.4414889788
"KOB-S",2010,1130,1.3385527759
"KOB-S",2010,1140,0.9484580462
"KOB-S",2010,1150,0.9840291757
"KOB-S",2010,1160,0.3036427774
"KOB-S",2010,1170,0.3576700503
"KOB-S",2010,1180,0.1010152545
"KOB-S",2010,1190,0.8957909576
"KOB-S",2010,1200,0.0656532164
"KOB-S",2010,1210,0
"KOB-S",2010,1220,0
"KOB-S",2010,1230,0.2357022604
"KOB-S",2010,1240,0.0749531689
"KOB-SE",2008,410,2.7724844621
"KOB-SE",2008,420,2.9079692517
"KOB-SE",2008,430,3.6685436915
"KOB-SE",2008,440,2.5018868995
"KOB-SE",2008,450,4.929668999
"KOB-SE",2008,460,4.3285022556
"KOB-SE",2008,470,6.0044258604
"KOB-SE",2008,480,6.1694355991
"KOB-SE",2008,490,11.9508273391
"KOB-SE",2008,500,25.9779332804
"KOB-SE",2008,510,24.2479794874
"KOB-SE",2008,520,24.995048356
"KOB-SE",2008,530,21.0150092223
"KOB-SE",2008,540,16.8559758232
"KOB-SE",2008,550,16.2134937465
"KOB-SE",2008,560,14.5600756001
"KOB-SE",2008,570,15.3980760556
"KOB-SE",2008,580,14.8564366323
"KOB-SE",2008,590,14.3757006634
"KOB-SE",2008,600,15.0763993449
"KOB-SE",2008,610,13.4789999239
"KOB-SE",2008,620,14.5205511244
"KOB-SE",2008,630,11.6542100038
"KOB-SE",2008,640,8.7283570014
"KOB-SE",2008,650,10.5252729632
"KOB-SE",2008,660,8.5369390845
"KOB-SE",2008,670,9.5352474278
"KOB-SE",2008,680,11.4861356578
"KOB-SE",2008,690,5.3946599167
"KOB-SE",2008,700,6.7943405801
"KOB-SE",2008,710,4.8484850667
"KOB-SE",2008,720,5.9925433728
"KOB-SE",2008,730,5.4441121133
"KOB-SE",2008,740,3.5513534
"KOB-SE",2008,750,4.3658609513
"KOB-SE",2008,760,2.4835821356
"KOB-SE",2008,770,3.0465331485
"KOB-SE",2008,780,2.1911378486
"KOB-SE",2008,790,3.2311172428
"KOB-SE",2008,800,3.2199809476
"KOB-SE",2008,810,1.8060391099
"KOB-SE",2008,820,0.2068215476
"KOB-SE",2008,830,1.044345042
"KOB-SE",2008,840,0.1856953382
"KOB-SE",2008,850,0.4082482905
"KOB-SE",2008,860,0
"KOB-SE",2008,870,0.4082482905
"KOB-SE",2008,880,0.15430335
"KOB-SE",2008,890,0.5939436286
"KOB-SE",2008,900,0.3900056104
"KOB-SE",2008,910,0.1178511302
"KOB-SE",2008,920,0.5939436286
"KOB-SE",2008,930,0
"KOB-SE",2008,940,0
"KOB-SE",2008,950,0.105999788
"KOB-SE",2008,960,0
"KOB-SE",2008,970,0.1428571429
"KOB-SE",2008,980,0.457205215
"KOB-SE",2008,990,0
"KOB-SE",2008,1000,0
"KOB-SE",2008,1010,0
"KOB-SE",2008,1020,0.1856953382
"KOB-SE",2008,1030,0
"KOB-SE",2008,1040,0
"KOB-SE",2008,1050,0
"KOB-SE",2008,1060,0
"KOB-SE",2008,1070,0.105999788
"KOB-SE",2008,1080,0
"KOB-SE",2008,1090,0
"KOB-SE",2008,1100,0
"KOB-SE",2008,1110,0
"KOB-SE",2008,1120,0
"KOB-SE",2008,1130,0
"KOB-SE",2008,1140,0
"KOB-SE",2008,1150,0
"KOB-SE",2008,1160,0
"KOB-SE",2008,1170,0
"KOB-SE",2008,1180,0
"KOB-SE",2008,1190,0
"KOB-SE",2008,1200,0
"KOB-SE",2008,1210,0
"KOB-SE",2008,1220,0
"KOB-SE",2009,410,0.2357022604
"KOB-SE",2009,420,0
"KOB-SE",2009,430,0.2357022604
"KOB-SE",2009,440,0.2357022604
"KOB-SE",2009,450,0.1714985851
"KOB-SE",2009,460,1.2326446223
"KOB-SE",2009,470,1.6759103796
"KOB-SE",2009,480,2.4260528917
"KOB-SE",2009,490,10.1092523879
"KOB-SE",2009,500,54.0541910347
"KOB-SE",2009,510,49.4635661263
"KOB-SE",2009,520,44.5328714095
"KOB-SE",2009,530,47.6762289227
